Charging Locations,Address,Access Type,Latitude,Longitude,Owner Name
Relux Electric Experience Center,"16/8, PRV Towers, GST Road, Guindy",Public,13.007671,80.207513,Relux Electric Customer Support,
Ocean Spray Resort,"No: 7, 8, 9, SH 49, Manjakuppam",Public,12.065592,79.879606,Relux Electric Customer Support,
KSN Charging Station,"Kadampa Nagar, Ramanathapuram, Tamil Nadu 623503",Public,9.357210,78.873617,Subicthanan,
Relux super Hub,"Chennai - Trichy Hwy, Tindivanam, Tamil Nadu",Public,12.240268,79.662591,Relux Electric Customer Support,
"RTA Office, Khairtabad (Sunrise Services)","Khairatabad Rd, Opposite Eenadu Head Office, Raj Bhavan Quarters Colony, Somajiguda, Hyderabad, Telangana 500004",Public,17.416260,78.457912,Relux Electric Customer Support,
Hotel Alps Residency,Bangalore - Chennai Highway,Public,12.541481,78.20135,Relux Electric Customer Support,
Temple City Lake Inn,"Trichy - Madurai Hwy, Valaichcherippatti",Public,9.987096,78.241590,Relux Electric Customer Support,
Relux Charging - Aryaas pure Veg,"Near HP Petrol Pump, Pallikonda, Tamil Nadu 635809, India",Public,12.902237,78.933344,Relux Electric Customer Support,
Ero_G Electric Charging Station,"NH544, Kovai To Salem Road, Solipalayam",Public,11.302473,77.600841,Relux Electric Customer Support,
AIMA Charging Station,"Karinganad, Chanthappadi, Near Vilayur Panchayath Office",Public,10.887834,76.189710,Azziz,
Hotel Vithal Kamal Pure Veg,"Octroi Naka, RTO Check Post, Near, Pune - Bengaluru Hwy, Tal, Kagal, Maharashtra 416216",Public,16.56401,74.31689,Relux Electric Customer Support,
Hotel JAS,"NH45 Kagitha Village Near Vempadu Toll Gate Nakkapalli, Mandalam",Public,17.399572,82.681138,Relux Electric Customer Support,
Navins Starwood Towers,"Krishnaveni Nagar, Medavakkam",Public,12.906868,80.183037,Relux Electric Customer Support,
Nellai Karupatti coffe,"6GXM,QQ4,Perundurai - Covai Road,Near Vijayamangalam Toll Plaza,Perundurai",Public,11.24941,77.53446,Relux Electric Customer Support,
Relux RD,"Siddeswaram,Nadupuru Reserve Forest",Public,17.466838,78.593265,Relux Electric Customer Support,
SST Charging Station,"NH 544, Avinashi Road, Muthalipalayam Piruvu, Arasur (P.O)",Public,11.068659,77.100271,Relux Electric Customer Support,
Dynasty AK Plaza,"NH 744 (Madurai to Kollam), No. 53C, AK Plaza",Public,9.467930,77.565973,Relux Electric Customer Support,
HOTEL ANADHA CLASSIC,"32, COURTALLAM ROAD, TENKASI, Tirunelveli, Tamil Nadu",Public,8.95438,77.30265,Relux Electric Customer Support,
Prashanth Charging Station,"SH 212, Kadavul Nagar,",Public,11.408196,79.674025,Relux Electric Customer Support,
Sattva Knowledge Park,"Tower 2, Ground Floor, Near Lobby-4",Private,17.430634,78.379266,Rameshkumar,
Relux - Masstech Controls,MIDC,Private,12.693829,92.892866,Masstech,
Hotel Rayas,"9F1,Ghandhi Adigal Salai, Satyam Nagar, Kumbakonam",Public,10.95821,79.38006,Relux Electric Customer Support,
Marshal E Tech Station,"2/119-5, Mission Compound, Kottaram,",Public,8.115515,77.532165,Sunith,
Quality Inn VIHA,"No:2, New Railway Rd, Gandhi Nagar",Public,10.960206,79.392533,Relux Electric Customer Support,
AMTZ@Cobalta,Medivalley,Public,17.627711,83.161456,Relux Electric Customer Support,
Vaniyambadi Toll Plaza,Vaniyambadi,Public,12.648754,78.583328,Relux Electric Customer Support,
Sri Annapoorana Restaurant,"Jameen Bus Stop, NH45",Public,12.853014,78.817034,Relux Electric Customer Support,
NS Charging Station,"SH 210, Sirkali",Public,11.221052,79.737485,Relux Electric Customer Support,
Besent Nagar Beach,"Elliots Road, Opposite To Starbucks, Besent Nagar",Public,12.998353,80.270837,Relux Electric Customer Support,
Harsha The Fern Shivamogga,"Harsha International, #35/2A, Sagara Road, opposite Sharavathi Dental College,",Public,13.948258,75.531407,Relux Electric Customer Support,
Thoppur Toll Plaza,"NH44, Palayam,Thoppur",Public,12.007025,78.080843,Relux Electric Customer Support,
Hotel Himalayaa,"687 D, Polur Road, Vengikkal",Public,12.252520,79.069536,Relux Electric Customer Support,
"Food Mania, Mandi","Beside Discovery Hotel, Ner Chowk Rd, Ner Chowk, Himachal Pradesh",Public,31.604118,76.924940,Relux Electric Customer Support,
Maple Retreat,Manipal,Public,32.227996,77.188681,Relux Electric Customer Support,
Nathakarai Toll Plaza,"NH79, Salem, Tamil Nadu 636112, India",Public,11.593064,78.781355,Relux Electric Customer Support,
Shanthigrama Toll Plaza,NH-75 (Bengaluru - Mangaluru Hwy),Public,12.982032,76.229537,Relux Electric Customer Support,
India Land Tech Park,Coimbatore,Private,11.102885,76.988191,Relux Electric Customer Support,
Relux Charging-Ammayii Resort,"NO.208 D CHENNAI ROADTHIRUVANNAMALAI, Kilnachipattu, Tamil Nadu 606601",Public,12.235375,79.089744,Relux Electric Customer Support,
Masstech Controls Pvt. Ltd.,"5-16, Devidayal Rd, P&T Staff Colony, Mulund West,",Private,12.693829,92.892866,Saurav,
Hotel VPS Grand,"23 Ayyampulli Road, Adivaram Rd, Giri Veethi  ",Public,10.443030,77.516170,Relux Electric Customer Support,
Grand Resort Puri,"Door No:1, 66D Street, Light House, Puri",Public,19.790680,85.803162,Relux Electric Customer  Support ,
Testing (Not for Public),"16/8, PRV Towers, GST Road, Guindy",Private,11.644982,92.730933,Relux Electric Customer Support,
Cosmopolitan Club (Members Only),"63, Anna Salai, Border Thottam, Padupakkam, Triplicane",Public,13.066264,80.266787,Relux Electric Customer Support,
"MM Legacy, A Bergamont Hotel","551/1, Bengaluru - Chennai Hwy, Opposite Meenakshi Medical College Hospital And Research Institute, Meenakshi Nagar",Public,12.870781,79.723706,Relux Electric Customer Support,
Hotel Aaryas,"GST Road, Thenpakkam, Tamilnadu",Public,12.385349,79.796016,RELUX,
VASAN CHARGING STATION,"Mandaiyur, Tamil Nadu 622515",Public,10.652212,78.742178,Relux Electric Customer Support,
Hotel Aaryas Garden - Tindivanam,"GST Road, Trichy Highway",Public,12.240659,79.663151,Relux Electric,
Saravana Stores-Padi (9am to 10pm),Padi Junction,Public,13.101020,80.190620,Relux Electric Support,
Mettupatti Toll Plaza,Mettupatti-atur,Public,11.661716,78.331236,Voice IVR,
Kallakurichi Plaza,Kallakurichi,Public,11.736141,79.009392,Voice Support,
Casagrand Zenith,"Medavakkam, Chennai, Tamil Nadu 600100",Public,12.909312,80.184399,Relux Electric Customer Support,
"Dr.M.G.R Univ, Maduravoyal","Poonamallee High Rd, Vishwas Nagar, Maduravoyal, Chennai, Tamil Nadu 600095",Public,13.068839,80.178346,Relux Electric Customer Support,
Hotel Benzz Park Vellore,"4, Thottapalayam Pillayar Koil St, Thottapalayam, Vellore, Tamil Nadu 632004",Public,12.929103,79.133641,Relux Electric Pvt Ltd,
Siva Selvi Charging Station,"334/1A Servaikaranpalayam, Govindanoor, Pollachi",Public,10.727093,76.929892,Relux Electric Pvt Ltd,
CasaGrand Irene,"Hamber Road, 3/250, Manapakkam Main Rd, Indira Nagar, Manapakkam, Chennai, Tamil Nadu 600125",Public,13.011700,80.171320,Relux Electric Pvt Ltd,
Hotel Oriental Towers,"Railway Station, No 2889, Srinivasan Road, Tanjore",Public,10.777640,79.142633,Relux Electric Pvt Ltd,
HR Legacy Pakoda Point,"Kuppanur - Yercaud Ghat Rd, Yercaud, Tamil Nadu 636601",Public,11.774700,78.226978,Relux Electric Pvt Ltd,
Taj Tristar Hotel,"Vasavi Towers, 1-1-40, Sarojini Devi Rd, Krishna Complex, Kalasiguda, Secunderabad, Telangana 500003",Public,17.441179,78.493501,Relux Electric Pvt Ltd,
