Name,Address,City,State,Country,Zip Code,Latitude,Longitude,Status,Facilities,Charger Connector,Charger Power,Charger Count,Is Active,Created At
Hotel Kalkai Krupa,"PCQ9+CFP, Bharane, Maharashtra 415621",Bharane,Maharashtra,India,415621,17.73860000,73.41872000,active,"Restroom, Cafe, Seating Area",CCS2,"60 KW, 60 KW",4,Yes,2026-06-10 13:29:00
Pattikatan Cafe,"6/45, Vaikundam, Tamil Nadu 637102",Vaikundam,Tamilnadu,India,637102,11.51238000,77.92202000,active,"Restroom, Cafe, Seating Area",CCS2,120 kw,2,Yes,2026-06-10 13:22:47
Khivraj Mahindra-Ambattur,"2nd Main Rd, Sai Nagar, Ambattur, Chennai, Tamil Nadu 600058",chennai,Tamilnadu,India,600058,13.09366000,80.16957000,active,"Restroom, Cafe, Seating Area",CCS2,120 kw,2,Yes,2026-06-10 13:21:02
RAJALAKSHMI STORE,"1/2, Athipadugai Rd, Rajalakshmi nagar, Thirunallar, Puducherry 609607",Thirunallar,Puducherry,India,609607,10.92002000,79.79332000,active,"Restroom, Cafe, Seating Area",CCS2,60 KW,2,Yes,2026-06-10 13:14:48
SALARPURIA SATTVA KNOWLEDGE CITY,"C9MF+RM3, Hitech City Main Rd, Diamond Hills, Lumbini Avenue, Gachibowli, Hyderabad, Rai Durg, Telangana 500032",Hyderabad,Telangana,India,500032,17.43510000,78.37413000,active,"Restroom, Cafe, Seating Area",CCS2,120 kw,1,Yes,2026-06-10 12:18:05
Green Grace Apartments,"C9MF+RM3, Hitech City Main Rd, Diamond Hills, Lumbini Avenue, Gachibowli, Hyderabad, Rai Durg, Telangana 500032",Hyderabad,Telangana,India,500032,17.43462000,78.37428000,active,"Restroom, Cafe, Seating Area",CCS2,120 kw,2,Yes,2026-06-10 12:14:21
Khivraj Mahindra,"KhivirajKamal Mahindra, Sri Ram Nagar, Sriperumbudur, Tamil Nadu 602105",Sriperumbudur,Tamilnadu,India,602105,12.97879000,79.96207000,active,"Restroom, Cafe, Seating Area",CCS2,120 kw,2,Yes,2026-06-10 12:03:54
Relux Charging Station -  Sector 34B,"Piccadilly Mall Back Side Sec 34 Sinam Hall Left Side, near Krise Vikash Bank, Sector 34, Chandigarh 160022",Chandigarh,Chandigarh,India,160022,30.72318000,76.76654000,active,"Restroom, Cafe, Seating Area",CCS,120 kw,2,Yes,2026-06-10 11:58:39
Manavasi Toll Plaza,"W6J9+G6J Manavasi Toll plaza, NH 81, Manavasi, Tamil Nadu 639108",Manavasi,Tamilnadu,India,639108,10.93139000,78.21806000,active,"Restroom, Cafe, Seating Area",CCS2,120 kw,2,Yes,2026-06-10 11:55:18
Relux Charging Station - Golden Temple,"Sri Narayani Peedam, Sri Lakshmi Narayani Golden Temple, Thirumalaikodi, Vellore, Tamil Nadu 632055",Vellore,Tamilnadu,India,632055,12.86795000,79.09198000,active,"Restroom, Cafe, Seating Area",CCS2,120 kw,1,Yes,2026-06-10 11:53:00
